file,loc,functions,classes,category
src/python/fodt/text_document.py,573,46,0,product_runtime
src/python/fodt/text_document_analytics.py,447,46,0,product_runtime
src/python/fodt/writer.py,305,7,0,product_runtime
src/python/gnumeric/__init__.py,33,0,0,product_runtime
src/python/gnumeric/cli.py,43,1,0,product_runtime
src/python/gnumeric/Compat/__init__.py,10,0,0,product_runtime
src/python/gnumeric/Compat/gnumeric_sheet.py,17,0,1,product_runtime
src/python/gnumeric/Compat/gnumeric_workbook.py,28,2,1,product_runtime
src/python/gnumeric/exceptions.py,22,0,3,product_runtime
src/python/gnumeric/gnumeric_analytics.py,913,60,0,product_runtime
src/python/gnumeric/gnumeric_codec.py,723,32,2,product_runtime
src/python/gnumeric/gnumeric_sheet_iterator.py,28,1,0,product_runtime
src/python/gnumeric/gnumeric_workbook_stats.py,371,19,0,product_runtime
src/python/gnumeric/models.py,205,29,1,product_runtime
src/python/gnumeric/spec/__init__.py,5,0,0,product_runtime
src/python/gnumeric/spec/workbook/__init__.py,5,0,0,product_runtime
src/python/gnumeric/spec/workbook/cell.py,19,0,1,product_runtime
src/python/gnumeric/spec/workbook/sheet.py,43,6,1,product_runtime
src/python/gnumeric/spec/workbook/workbook.py,43,6,1,product_runtime
src/python/ndjson/__init__.py,43,0,0,product_runtime
src/python/ndjson/cli.py,44,1,0,product_runtime
src/python/ndjson/Compat/__init__.py,10,0,0,product_runtime
src/python/ndjson/Compat/ndjson_field.py,10,0,1,product_runtime
src/python/ndjson/Compat/ndjson_record.py,10,0,1,product_runtime
src/python/ndjson/exceptions.py,22,0,3,product_runtime
src/python/ndjson/json_stream.py,926,69,0,product_runtime
src/python/ndjson/models.py,205,29,1,product_runtime
src/python/ndjson/ndjson_codec.py,596,22,3,product_runtime
src/python/ndjson/ndjson_field_iterator.py,31,1,0,product_runtime
src/python/ndjson/ndjson_record_iterator.py,31,1,0,product_runtime
src/python/ndjson/ndjson_record_stats.py,630,26,0,product_runtime
src/python/ndjson/ndjson_workflow.py,23,1,0,product_runtime
src/python/ndjson/spec/__init__.py,5,0,0,product_runtime
src/python/ndjson/spec/record/__init__.py,5,0,0,product_runtime
src/python/ndjson/spec/record/field.py,42,6,1,product_runtime
src/python/ndjson/spec/record/record.py,41,6,1,product_runtime
src/python/ods/__init__.py,36,0,0,product_runtime
src/python/ods/Compat/__init__.py,12,0,0,product_runtime
src/python/ods/Compat/ods_cell.py,17,0,1,product_runtime
src/python/ods/Compat/ods_document.py,29,2,1,product_runtime
src/python/ods/Compat/ods_sheet.py,17,0,1,product_runtime
src/python/ods/exceptions.py,22,0,3,product_runtime
src/python/ods/models.py,248,37,3,product_runtime
src/python/ods/ods_analytics.py,1000,60,0,product_runtime
src/python/ods/ods_csv_exporter.py,172,7,1,product_runtime
src/python/ods/ods_parser.py,791,29,7,product_runtime
src/python/ods/ods_row_iterator.py,29,1,0,product_runtime
src/python/ods/ods_sheet_iterator.py,27,1,0,product_runtime
src/python/ods/ods_stats.py,181,6,0,product_runtime
src/python/ods/ods_workflow.py,26,1,0,product_runtime
src/python/ods/ods_writer.py,249,10,0,product_runtime
src/python/ods/spec/__init__.py,1,0,0,product_runtime
src/python/ods/spec/office/__init__.py,4,0,0,product_runtime
src/python/ods/spec/office/document.py,43,6,1,product_runtime
src/python/ods/spec/table/__init__.py,1,0,0,product_runtime
src/python/ods/spec/table/table.py,23,4,1,product_runtime
src/python/ods/spec/table/table_cell.py,27,5,1,product_runtime
src/python/ods/spec/table/table_row.py,19,3,1,product_runtime
src/python/odt/__init__.py,34,0,0,product_runtime
src/python/odt/Compat/__init__.py,12,0,0,product_runtime
src/python/odt/Compat/odt_document.py,33,3,1,product_runtime
src/python/odt/Compat/odt_heading.py,17,0,1,product_runtime
src/python/odt/Compat/odt_paragraph.py,17,0,1,product_runtime
src/python/odt/exceptions.py,22,0,3,product_runtime
src/python/odt/models.py,177,25,1,product_runtime
src/python/odt/odt_heading_iterator.py,30,1,0,product_runtime
src/python/odt/odt_paragraph_iterator.py,30,1,0,product_runtime
src/python/odt/odt_parser.py,262,7,7,product_runtime
src/python/odt/odt_workflow.py,24,1,0,product_runtime
src/python/odt/odt_writer.py,140,4,0,product_runtime
src/python/odt/spec/__init__.py,6,0,0,product_runtime
src/python/odt/spec/office/__init__.py,4,0,0,product_runtime
src/python/odt/spec/office/document.py,51,8,1,product_runtime
src/python/odt/spec/text/__init__.py,5,0,0,product_runtime
src/python/odt/spec/text/heading.py,42,6,1,product_runtime
src/python/odt/spec/text/paragraph.py,47,7,1,product_runtime
src/python/odt/text_document.py,591,56,0,product_runtime
src/python/pbm/__init__.py,34,0,0,product_runtime
src/python/pbm/bitmap_image.py,577,49,0,product_runtime
src/python/pbm/Compat/__init__.py,12,0,0,product_runtime
src/python/pbm/Compat/pbm_bitmap.py,10,0,1,product_runtime
src/python/pbm/Compat/pbm_header.py,10,0,1,product_runtime
src/python/pbm/Compat/pbm_raster.py,10,0,1,product_runtime
src/python/pbm/exceptions.py,22,0,3,product_runtime
src/python/pbm/models.py,179,26,1,product_runtime
src/python/pbm/pbm_parser.py,615,21,6,product_runtime
src/python/pbm/pbm_raster_iterator.py,32,1,0,product_runtime
src/python/pbm/pbm_to_pgm.py,107,2,0,product_runtime
